Wahlkreis-Nr.;Bevölkerung am 31.12.2015 - Deutsche (in 1000);Alter von ... bis ... Jahren am 31.12.2015 - unter 18 (%);Bev;Wber
202;196,9;16,4;196900;164608
203;230,9;16,1;230900;193725
204;251,7;16,8;251700;209414
205;295,7;15,5;295700;249867
206;256,4;17,3;256400;212043
207;261,2;16,8;261200;217318
208;259,7;15,8;259700;218667
209;272,6;15,6;272600;230074
210;209,9;15,1;209900;178205
211;258,6;16,1;258600;216965
212;199,8;17;199800;165834
213;242,1;18,7;242100;196827
214;285,8;17,7;285800;235213
215;282,2;17,8;282200;231968
216;290,7;17,6;290700;239537
217;264,3;15,3;264300;223862
218;284,7;15,3;284700;241141
219;252,5;15,3;252500;213868
220;282,6;15,3;282600;239362
221;287,1;18,3;287100;234561
222;282,8;17,2;282800;234158
223;198,3;17;198300;164589
224;258,5;17,9;258500;212229
225;248,4;16,1;248400;208408
226;199,2;16,7;199200;165934
227;197,2;16,2;197200;165254
228;301,2;17,2;301200;249394
229;208,9;15,3;208900;176938
230;201,1;16,7;201100;167516
231;207,2;16,1;207200;173841
232;258,2;16,6;258200;215339
233;302,7;16,1;302700;253965
234;256,7;16,1;256700;215371
235;200,5;15,9;200500;168621
236;218;16,3;218000;182466
237;193,4;15;193400;164390
238;188,5;14,9;188500;160414
239;196,8;14,6;196800;168067
240;202,7;15,8;202700;170673
241;291,8;16,9;291800;242486
242;215,9;16,7;215900;179845
243;304;16,4;304000;254144
244;224,4;15,4;224400;189842
245;217,7;15,7;217700;183521
246;272,5;16,5;272500;227538
247;218,1;16;218100;183204
248;256,5;16,3;256500;214691
249;234,7;16,2;234700;196679
250;237;16,2;237000;198606
251;265,3;14,7;265300;226301
252;256,3;15,2;256300;217342
253;299,3;17,7;299300;246324
254;230,4;17,6;230400;189850
255;289,7;17,4;289700;239292
256;268,8;16,4;268800;224717
257;297,5;17,2;297500;246330
258;239,6;15,3;239600;202941
259;235,4;15,3;235400;199384
260;298,9;17,8;298900;245696
261;204,1;17,1;204100;169199
262;250,9;17;250900;208247
263;216,4;16,9;216400;179828
264;270,5;17,1;270500;224245
265;268,1;17,5;268100;221183
266;278,1;17,5;278100;229433
267;294,8;17,4;294800;243505
268;274,6;17,7;274600;225996
269;213,6;17,2;213600;176861
270;270,5;17,6;270500;222892
271;252,3;14,6;252300;215464
272;250,1;16,5;250100;208834
273;245,8;16;245800;206472
274;269,3;15,1;269300;228636
275;236,6;15,4;236600;200164
276;253,3;16,4;253300;211759
277;239;17,2;239000;197892
278;235,3;16,7;235300;196005
279;267,4;17,3;267400;221140
280;239,9;17,5;239900;197918
281;268,9;16,4;268900;224800
282;278,3;17,5;278300;229598
283;263,2;17,7;263200;216614
284;246,2;17,1;246200;204100
285;242,7;18,1;242700;198771
286;200,3;16,8;200300;166650
287;243,1;16,4;243100;203232
288;215,6;17,8;215600;177223
289;242,8;17,2;242800;201038
290;238;17;238000;197540
291;271,3;17,6;271300;223551
292;203,6;18,9;203600;165120
293;206,5;16,9;206500;171602
294;226,5;17,8;226500;186183
295;221;17,1;221000;183209
296;235;14,4;235000;201160
297;240,8;14,9;240800;204921
298;205,5;14;205500;176730
299;223;14,1;223000;191557
